h_abuse_sum,abuse,followers_count,friends_count,friends_to_followers,followers_to_friends,account_verified,favorites_tweets,retweeted,retweet_count,tweet_sensitive,account_lists,mention_count,hashtag_count,age_of_account,recent_account,ratio_follows_sent,ratio_follows_received,mentions_over_tweets,replies_over_users,tweets_per_day,mentions_per_day,badwords,mutual_followers,mutual_followees,mutual_followers_followees,mutual_followees_followers,tweet_invasive
-4,0,719,1217,1.69263,0.590797,f,3906,0,0,f,23,2,0,1637,0,0.743433,0.439218,0.714108,0,1.96579,1.40379,0,0,0,0,0,1
3,1,485,2003,4.1299,0.242137,f,360,0,1,,17,7,1,1757,0,1.14001,0.276039,1.44986,0,1.84462,2.67445,1,0,0,0,0,1
-4,0,6294,3536,0.561805,1.77998,f,53674,0,0,,313,3,1,1390,0,2.54388,4.52806,0.735222,0,2.33669,1.71799,0,2.75058977409558e-05,6.3969531601266e-05,3.44202044537223e-05,4.97774987826861e-05,0
-6,0,646,871,1.3483,0.741676,f,391,0,1,f,10,2,0,1217,0,0.715694,0.530813,1.5797,0,2.65489,4.19392,0,1.70937541131846e-06,3.46574458056569e-06,3.23048127063874e-06,5.16877003302198e-06,1
-5,0,633,165,0.260664,3.83636,f,76933,0,0,,34,1,0,2786,0,0.0592247,0.227207,0.350311,0,1.15578,0.404882,0,1.83036672035742e-05,2.47131817203863e-05,3.30361084665539e-05,7.50820646967135e-06,1
-5,0,839,1160,1.3826,0.723276,f,1805,0,0,,30,3,0,522,0,2.22222,1.60728,1.90719,9,6.13027,11.6916,1,0,0,0,0,1
-3,0,839,1160,1.3826,0.723276,f,1805,0,0,,30,2,0,522,0,2.22222,1.60728,1.90719,9,6.13027,11.6916,0,0,0,0,0,1
-5,0,442,466,1.0543,0.948498,f,3876,0,0,,13,1,0,1150,0,0.405217,0.384348,1.12127,0,2.76783,3.10348,0,0,0,0,0,1
,,150,350,2.33333,0.428571,f,1723,0,0,,3,3,0,1008,0,0.347222,0.14881,3,0,0.000992064,0.00297619,0,0,0,0,0,1
-4,0,146,66,0.452055,2.21212,f,2968,0,0,,5,3,0,1906,0,0.0346275,0.0766002,3,0,0.000524659,0.00157398,0,0,0,0,0,1
,,1001,308,0.307692,3.25,f,54926,1,14,,74,0,2,696,0,0.442529,1.43822,0.819931,0,4.55603,3.73563,0,9.86451634824373e-05,0.000157659937247452,9.88816024824977e-05,3.31331024025123e-05,1
,,304,88,0.289474,3.45455,f,23593,1,14,,5,0,2,49,0,1.79592,6.20408,0,0,0.0204082,0,0,0.000164896431433102,0.000320769847634322,0.000161065482192623,4.08335025277072e-05,1
,,2823,2587,0.916401,1.09123,f,2711,1,14,,27,0,2,415,0,6.23374,6.80241,0.666667,1,0.00722892,0.00481928,0,0,0,0,0,1
,,1479,1404,0.94929,1.05342,f,86063,1,1,,86,1,0,505,0,2.7802,2.92871,0.837072,4,6.35644,5.32079,0,9.35962735623177e-05,9.90794896167791e-05,9.60547071212669e-05,8.85642024374984e-05,1
