h_abuse_sum,abuse,followers_count,friends_count,friends_to_followers,followers_to_friends,account_verified,favorites_tweets,retweeted,retweet_count,tweet_sensitive,account_lists,mention_count,hashtag_count,age_of_account,recent_account,ratio_follows_sent,ratio_follows_received,mentions_over_tweets,replies_over_users,tweets_per_day,mentions_per_day,badwords,mutual_followers,mutual_followees,mutual_followers_followees,mutual_followees_followers,tweet_invasive
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,1,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,2,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,1,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,2,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,1,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,1,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,1,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,1,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,1,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,1,f,4,0,1,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,1,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,1,8,1,625.125,51.125,0.392,,15.625,6.125,1,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,3,1,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,1,0,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,1,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
,1,409,5001,12.2274,0.0817836,f,0,0,0,f,4,0,1,8,1,625.125,51.125,0.392,,15.625,6.125,0,0.5,0.5,0,0,1
